Job Ref,Title,Employer,Salary,Posted Date,Closing Date,Job Type,Working Pattern,Pay Scheme,Pay Band,Department,Location,Description
395-EA369-20,Ward Sister,"NELFT NHS Foundation Trust, Thorndon Ward, Brentwood Community Hospital, Brentwood, Essex","£31,365 - £37,890 per annum pro rata (Plus HCAS)",14/10/2020,28/10/2020,Fixed term (6 months),• Full time,Agenda for change,6,Community Health Services,"Thorndon Ward, Brentwood Community Hospital, Brentwood, Essex","As an employee of NELFT, you will receive the following benefits:
Excellent working environments
Agile working with outstanding ICT support
A award-winning approach to Equality and Diversity with supportive networks for ethnic minority staff, staff with disabilities and LGBT staff
Staff Benefits including NHS Pension, a salary sacrifice car scheme, discount schemes, cycle scheme and Annual Leave Sale / Purchase scheme, trade union membership
A focus on staff health and wellbeing featuring subsidised gym membership, access to Mindfulness, walking groups and other wellbeing support.
We have signed the skills pledge and are an accredited Improving Working Lives organisation. We are committed to staff development and offer opportunities which include a wide range of training options and an active Quality Improvement Programme
We are committed to equal opportunities and diversity, are Disability Confident and therefore welcome applications from all sections of the community, people of all protected characteristics. We wish to reiterate that declaring a disability at the point of application, or at any point in a recruitment or selection process, will not count against any individual, nor prevent them from being shortlisted, subject to meeting the minimum criteria of the person specification.
Correspondence with us
You are advised to regularly check your emails for correspondence related to this post.

In the event of a high number of responses to any advert, NELFT reserves the right to close the vacancy early. .
After applying via NHS Jobs, your submitted application will be imported into our preferred Third party recruitment system. All subsequent information regarding your application will be generated from apps.trac.jobs.

By applying for this post you are agreeing to NELFT NHS Foundation Trust transferring the information contained in this application to its preferred applicant management system. If you are offered a job, information will also be transferred into the national NHS Electronic Staff Records system."
J223-1578,F Grade Junior Sister - Oncology Inpatients Unit,"The London Clinic, London","£44,205 - £50,423",12/10/2020,See advert,Permanent,• Full time,Agenda for change,6,Cancer Support,London,None
197-AJ9217,Senior Staff Nurse - Stroke,"Lewisham and Greenwich NHS Trust, Lewisham Hospital, University Hospital Lewisham","£30,401 to £37,267 per annum plus HCA",20/10/2020,30/10/2020,Permanent,• Full time,Agenda for change,6,Stroke,"Lewisham Hospital, University Hospital Lewisham","Band 6 – Maple and Beech Ward, Stroke unit, University Hospital Lewisham
A vacancy has arisen for a suitably qualified nurse to join the existing Ward Manager and Ward Sister, who will lead the team on a well-established Stroke Unit.
The successful candidate should be able to take charge and they must be committed to a multi-disciplinary approach.
The post is challenging and candidates will be expected to be passionate about their work and able to deliver to a high standard. They will also need to be able to lead a strong team and be expected to support the Sisters in executing the new initiatives from the national stroke strategy.
There will be opportunities to be developed and to develop the staff all in line with the knowledge skills framework.
We are looking to hear from individuals who have:
A passion for quality patient focused care
Ideally with a minimum of 2 years working in Stroke or Elderly Care or Acute Medicine - you will be an experienced clinician.
Applicants would have had mentorship qualification.
Responsible for taking a supportive and leadership role developing and maintaining the current ward team.
Supporting your Ward Manager to meet divisional and trust objectives.
An excellent communicator, possess good organisational skills and be able to motivate and lead others.
For further details / informal visits contact:
NameBola KolajoJob titleMatronEmail addressbolanle.kolajo@nhs.netTelephone number07717652618Additional contact information
Bola Kolajo
Matron Stroke and Frailty
Beech, Maple, Hawthorn Wards and Discharge Lounge
University Hospital Lewisham
Lewisham Medicine and Community
Riverside Building
Floor 4, Matrons Office
07717652618
Bolanle.kolajo@nhs.net"
434-IM2676757,Staff Nurse,"Buckinghamshire Healthcare NHS Trust, Stoke Mandeville Hospital, Aylesbury","£24,907 - £30,615 per annum",09/10/2020,23/10/2020,Permanent,• Full time,Agenda for change,5,Acute Medicine,"Stoke Mandeville Hospital, Aylesbury","We are committed to providing staff with learning and development opportunities to support their career progression. We also offer on-site subsidised childcare, flexible working and a generous pension.
Buckinghamshire Healthcare NHS Trust is an equal opportunities employer and are constantly striving to improve the working lives of our staff. We do not offer London Weighting. It is Trust policy that travel expenses for interview will not be reimbursed.
The post will close on the closing date stated at midnight. Please note that we may when necessary be required to close a job prior to the closing date, due to a large number of applications or change in circumstance. Contact with candidates will be made via the email address on your application form. Therefore, ensure that this email address is checked regularly.
By applying for this post you are agreeing to Buckinghamshire Healthcare NHS Trust transferring the information contained in this application to its preferred applicant management system. If you are offered a job, information will also be transferred into the national NHS Electronic Staff Records system.
Please note the monitoring and safeguarding sections are not made visible to the shortlisting panel. The safeguarding section may be made visible to the interview panel but that is dependent on the role being recruited into.
Applications from job seekers who require Tier 2 sponsorship to work in the UK are welcome and will be considered alongside all other applications providing the position satisfies the resident labour market test. UK Visas and Immigration service require employers to complete this test to show that no suitably qualified EEA or EU worker can fill the post. For further information please visit the Government UK visas and immigration website.
The Trust is a NO SMOKING environment. Smoking in all areas of the building and premises is prohibited."
309-NATMB64051-YV-RA-CB,Senior Staff Nurse - Critical Care,"University College London Hospitals NHS Foundation Trust, University College London Hospitals NHS Foundation Trust (UCLH), London","£37,638 - £44,780 per annum inclusive",16/10/2020,27/10/2020,Permanent,• Full time,Agenda for change,6,Critical Care,"University College London Hospitals NHS Foundation Trust (UCLH), London","All candidates for posts at UCLH are required to complete our values assessment.
In the ‘Further Links’ section to the right of this advert, please follow the link to the UCLH Values Assessment Tool. Once you have completed the assessment and scored highly enough, you will receive a certificate number. In order to start your application, you must copy and paste (do not type) your certificate number into your application form when requested.
The certificate covers all applications you make to UCLH for 6 months - you do not need to take the test for each job application you make. After 6 months you may complete the assessment again.

If you have lost your certificate number, you can have a reminder sent to your email address by accessing the Values Assessment Certificate Number Reminder tool in the ‘Further Links’ section to the right of this advert.
Please note that if you are at present in a training position on the 2016 new junior doctor’s contract and are applying for a Trust doctor role your salary will not be pay protected.
You will be placed on the appropriate point of the Trust Doctor pay scale based on your previous experience.
This vacancy may close before the current listed closing date. You are advised not to delay submitting your completed application."
309-NATMB54052-RA-BN,Staff Nurse - Critical Care,"University College London Hospitals NHS Foundation Trust, University College London Hospitals NHS Foundation Trust (UCLH), London","£29,888 - £36,738 per annum inclusive",19/10/2020,27/10/2020,Permanent,• Full time,Agenda for change,5,Critical Care,"University College London Hospitals NHS Foundation Trust (UCLH), London","All candidates for posts at UCLH are required to complete our values assessment.
In the ‘Further Links’ section to the right of this advert, please follow the link to the UCLH Values Assessment Tool. Once you have completed the assessment and scored highly enough, you will receive a certificate number. In order to start your application, you must copy and paste (do not type) your certificate number into your application form when requested.
The certificate covers all applications you make to UCLH for 6 months - you do not need to take the test for each job application you make. After 6 months you may complete the assessment again.

If you have lost your certificate number, you can have a reminder sent to your email address by accessing the Values Assessment Certificate Number Reminder tool in the ‘Further Links’ section to the right of this advert.
Please note that if you are at present in a training position on the 2016 new junior doctor’s contract and are applying for a Trust doctor role your salary will not be pay protected.
You will be placed on the appropriate point of the Trust Doctor pay scale based on your previous experience.
This vacancy may close before the current listed closing date. You are advised not to delay submitting your completed application."
374-AJ3524,Staff Nurse - Accident & Emergency Dept - EDGH,"East Sussex Healthcare NHS Trust, Eastbourne DGH, Eastbourne","£24,907 - £30,615 per annum",15/10/2020,29/10/2020,Permanent,• Full time,Agenda for change,5,Accident and Emergency,"Eastbourne DGH, Eastbourne","Eastbourne District General Hospital
Accident and Emergency Department
Staff Nurse / Band 5 Internal Rotation
We are very busy Emergency Department, treating on average 50,000 patients a year. We are looking for a Band 5 Staff Nurse to join our pro-active and dynamic team.
Every day we value great team work and respect, making sure our patients come first, delivering safe and high quality care, being responsible and accountable and ensuring everyone's contribution counts.
This is both an extremely exciting opportunity and time for new staff to join us on our journey towards outstanding. We are have an Advanced Nurse Practitioner service and we are keen to grow our own workforce and watch our staff progress into autonomous roles such as Advanced Nurse Practitioners and Emergency Nurse Practitioners. Our amazing Emergency Nurse Practitioners Service which sees approx. 25% of all our attendances, We have a range of different skilled adult nurses and dedicated paediatric nurses who are all enthusiastic to share their vast experience and knowledge with you. The Head of Nursing, Matrons, Sister & Charge Nurses also work clinically to ensure high quality care is delivered to our patients and that staff are continually supported in all areas. We have also developed welfare teams so there is always somebody to listen and support you.
We are dedicated to training and education and have strong links to Greenwich, Brighton and Canterbury Universities for both degree and masters courses. We offer a range of courses to suit our staff needs – Advanced physical and paediatric assessment, mentorship, and the full range of resuscitation council courses ATLS, EPLS, PILS, ILS, ALS. During your induction you will be invited to a skills week which is an in house course run by the ED Matrons where you will learn the essentials to work within our ED’s this comprises of intraosseous access, care of the sick child, ILS, PILS. These skills weeks will be repeated during the year with content that the staff request to be taught. We have highly experienced Practice Development Nurses, one of which won Mentor of the Year Award, and we have been nominated Team of the Year by the students we supported in the past. They will work closely with you in all areas of the ED – triage, majors, minors, resuscitation,
We are welcoming highly motivated, caring, enthusiastic and innovative individuals to come and join our exciting and dynamic nursing teams. We welcome informal visits so please contact one of us to arrange a telephone conference, or visit, to discuss the exciting opportunities we have to offer. We would be able to offer part time hours however all vacancies are internal rotation.
For further information or an informal discussion, please contact Amy Collis – Head of Nursing on 01323 417400 requesting switchboard connect you"
J181-A-20-50033,St Helena Hospice - Staff Nurse,"Central Advertising - Social Enterprises, Colchester","28,252 -31,500",19/10/2020,31/10/2020,Permanent,• Full time,Other,None,Palliative Medicine,Colchester,Apply for this job
328-UE-2641792,Paediatric Pre Assessment Sister,"South Tees Hospitals NHS Foundation Trust, The James Cook University Hospital, Middlesbrough","£31,365 - £37,890",20/10/2020,03/11/2020,Permanent,• Full time,Agenda for change,6,Paediatrics,"The James Cook University Hospital, Middlesbrough","Please be aware, there are occasions where some vacancies may close prior to the closing date advertised. This will only happen where sufficient applications are received AND will be made evident on the job advert.
Please note if you are successfully shortlisted, we will contact you via the email address that you have applied from so please ensure you check your emails regularly.
Existing employees of South Tees NHS Foundation Trust currently on the Redeployment Register, who meet the essential criteria for this post, will be shortlisted and interviewed prior to all other applicants.

IMPORTANT - Please ensure you read the 'Guidance Notes for Applicants' document attached to this advert before you start to complete your application form. This document provides detailed advice regarding the completion of your application form. The guidance document also provides in detail what identification and certificates you must provide at interview should you be shortlisted. As part of our pre-employment screening process, all applicants are required to provide references from their last continuous 3 year employment and/or training/education. The referees MUST be a Line Manager/Supervisor. Applicants are requested to ensure email addresses for all referees are included on their application form. Personal references and references from colleagues are not acceptable.

Unfortunately we are unable to respond to all applicants and those who are not contacted within six weeks of the closing date should assume that their application has been unsuccessful."
319-2696007RM,Staff Nurse,"Northumbria Healthcare NHS Foundation Trust, Northumbria Specialist Emergency Care Hospital, Cramlington","£24,907 - £30,615 pro rata per annum",22/10/2020,05/11/2020,Permanent,"• Full time
• Part time",Agenda for change,5,Respiratory Medicine,"Northumbria Specialist Emergency Care Hospital, Cramlington","At Northumbria Healthcare NHS Foundation Trust, we believe that our staff are the foundation for all that we do. The Trust recognises its role in supporting the health and wellbeing of its staff and it taking positive action in this respect. We have a range of initiatives and support for staff including psychology and counselling, physiotherapy, physical activity opportunities and healthy food choices on site. We will also support flexible working where possible, and understand the importance of a healthy worklife balance.
The Trust is completely smoke free from March 2018. We do not discriminate against people who smoke but we do require all staff to be smoke free whilst at work and we have a range of support in place to help and support staff with this.
After applying via NHS Jobs, your submitted application will be imported into our preferred third party recruitment system. All subsequent information regarding your application will be generated from apps.trac.jobs. You will not be able to track the progress of your application or receive messages through the NHS Jobs website, and furthermore, that as an employer, we will not be able to respond to any e-mails sent to us via the NHS Jobs website. By applying for this post you are agreeing to Northumbria Healthcare NHS Foundation Trust transferring the information contained in this application to its preferred applicant management system. If you are offered a job information will also be transferred into the national NHS Electronic Staff Records system."
218-B5-DIABENDOROLL-OCT,Registered Nurse - Diabetes/Endocrinology,"University Hospitals Coventry and Warwickshire NHS Trust, University Hospital Coventry, Coventry","£24,907 - £30,615 per annum",20/10/2020,03/11/2020,Permanent,"• Full time
• Part time",Agenda for change,5,Diabetes,"University Hospital Coventry, Coventry","Recruiting to Values
To ensure that we provide world-class patient care, UHCW recruits people that can demonstrate the Trust’s Values and Behaviours in their everyday life. Therefore, if you are invited to interview, you will be undertaking a Values Based Interview/Assessment, which explores not only what you do but how and why you do it.
Before applying, we encourage you to review the Trust’s Values and Behaviours Framework and Values Based Recruitment Factsheet which can be accessed on the right side of this page under the job description.
The Supporting Information Section in your application should therefore reflect your understanding of the Trust’s Values and associated Behaviours. You will be expected to provide us with examples from work experience and/or personal life which demonstrate these values through your behaviour.
All correspondence will be sent by email; please check your account regularly including your Junk/SPAM folders
If you are invited to attend interview you will be asked to set up an account with the Trac recruitment system in order to confirm your interview time
The Trust is committed to Equal Opportunities within the workplace; all applicants who have a disability and who meet the minimum criteria for the job will be interviewed. Where a post has an overwhelming response, this Trust may use random selection in order to reduce numbers to interview, any disabled applicants will automatically be guaranteed an interview and will be exempt from this process.
If you are short-listed for this post you will be contacted by the Resourcing Department via email. Due to the high volume of applications for some posts, we regret that we are unable to provide notification if your application is unsuccessful, if you do not hear from us within four weeks of the stated closing date for the post, please assume that you have not been successful with that specific application."
151-ALG002,Staff Nurse - ITU & MADU,"Frimley Health NHS Foundation Trust, Wexham Park Hosptial, Slough","£26,152 - £32,146 Per Annum Pro Rata incl HCAS",16/10/2020,30/10/2020,Permanent,"• Full time
• Part time",Agenda for change,5,Administration,"Wexham Park Hosptial, Slough","There’s never been a more exciting time to build your career at Frimley Health, one of the country’s largest and most respected hospital trusts. We have three main hospitals: Frimley Park in Frimley near Camberley, Heatherwood in Ascot and Wexham Park near Slough.
As well as delivering excellent general hospital services to local people, we provide specialist heart attack, vascular, stroke, spinal, cystic fibrosis and plastic surgery services across a much wider area. We also run outpatient clinics and diagnostic services from Aldershot, Farnham, Fleet, Windsor, Maidenhead, Bracknell and Chalfont St Peter.
Recently we have invested £150m in new facilities to create the best environments for our patients and staff. Our projects include new state-of-the-art Emergency Assessment Centre at Wexham Park and a newly planned care hospital in Ascot.
Our three core values, and the behaviours that support them, guide everything we do and set out what we expect of our staff in the way they treat patients, visitors, service users and each other. So whether you use our services or are just visiting you can expect us to be Committed to Excellence, Working Together and Facing the Future.
If you have a passion for clinical excellence, patient care and your own career development, you’ll feel at home at Frimley Health. Whether you want to broaden your expertise, strengthen your skills or make the move into management. It’s one of the reasons our staff consistently rate us among the best places to work in the NHS."
151-ALG001,Staff Nurse - ITU & MADU,"Frimley Health NHS Foundation Trust, Frimley Park Hospital, Frimley","£26,152 - £32,146 Per Annum Pro Rata incl HCAS",16/10/2020,01/11/2020,Permanent,"• Full time
• Part time",Agenda for change,5,Administration,"Frimley Park Hospital, Frimley","There’s never been a more exciting time to build your career at Frimley Health, one of the country’s largest and most respected hospital trusts. We have three main hospitals: Frimley Park in Frimley near Camberley, Heatherwood in Ascot and Wexham Park near Slough.
As well as delivering excellent general hospital services to local people, we provide specialist heart attack, vascular, stroke, spinal, cystic fibrosis and plastic surgery services across a much wider area. We also run outpatient clinics and diagnostic services from Aldershot, Farnham, Fleet, Windsor, Maidenhead, Bracknell and Chalfont St Peter.
Recently we have invested £150m in new facilities to create the best environments for our patients and staff. Our projects include new state-of-the-art Emergency Assessment Centre at Wexham Park and a newly planned care hospital in Ascot.
Our three core values, and the behaviours that support them, guide everything we do and set out what we expect of our staff in the way they treat patients, visitors, service users and each other. So whether you use our services or are just visiting you can expect us to be Committed to Excellence, Working Together and Facing the Future.
If you have a passion for clinical excellence, patient care and your own career development, you’ll feel at home at Frimley Health. Whether you want to broaden your expertise, strengthen your skills or make the move into management. It’s one of the reasons our staff consistently rate us among the best places to work in the NHS."
